county,engagement,environment,health,housing,neighborhood,opportunity,transportation
DeKalb+County+Tennessee,DeKalb+County+Tennessee,47,75,35,66,29,52,39
Dickson+County+Tennessee,Dickson+County+Tennessee,36,56,25,58,33,70,36
Dyer+County+Tennessee,Dyer+County+Tennessee,52,79,23,60,33,59,41
Fayette+County+Tennessee,Fayette+County+Tennessee,43,59,37,43,33,55,41
Fentress+County+Tennessee,Fentress+County+Tennessee,44,60,14,61,26,52,39
Franklin+County+Tennessee,Franklin+County+Tennessee,52,59,31,55,31,42,44
Gibson+County+Tennessee,Gibson+County+Tennessee,62,60,37,59,34,51,41
Giles+County+Tennessee,Giles+County+Tennessee,37,58,24,58,31,52,38
Grainger+County+Tennessee,Grainger+County+Tennessee,25,60,30,53,31,66,40
Greene+County+Tennessee,Greene+County+Tennessee,40,38,34,58,32,67,42
Grundy+County+Tennessee,Grundy+County+Tennessee,,,,,,,
Hamblen+County+Tennessee,Hamblen+County+Tennessee,56,56,38,60,36,55,49
Hamilton+County+Tennessee,Hamilton+County+Tennessee,71,59,52,50,40,48,49
Hancock+County+Tennessee,Hancock+County+Tennessee,12,60,18,66,23,19,43
Hardeman+County+Tennessee,Hardeman+County+Tennessee,55,60,21,50,27,44,44
Hardin+County+Tennessee,Hardin+County+Tennessee,45,59,25,57,25,38,40
Hawkins+County+Tennessee,Hawkins+County+Tennessee,37,39,28,68,32,62,56
Haywood+County+Tennessee,Haywood+County+Tennessee,,,,,,,
Henderson+County+Tennessee,Henderson+County+Tennessee,39,56,22,55,29,53,36
Henry+County+Tennessee,Henry+County+Tennessee,61,61,33,60,30,39,40
Hickman+County+Tennessee,Hickman+County+Tennessee,14,60,11,49,30,70,36
Houston+County+Tennessee,Houston+County+Tennessee,33,60,0,56,27,54,45
Humphreys+County+Tennessee,Humphreys+County+Tennessee,58,75,22,56,32,55,40
Jackson+County+Tennessee,Jackson+County+Tennessee,31,60,20,54,28,28,45
Jefferson+County+Tennessee,Jefferson+County+Tennessee,31,61,37,53,33,63,42
Johnson+County+Tennessee,Johnson+County+Tennessee,,,,,,,
Knox+County+Tennessee,Knox+County+Tennessee,56,30,54,73,42,55,46
Lake+County+Tennessee,Lake+County+Tennessee,25,61,14,76,39,52,54
Lauderdale+County+Tennessee,Lauderdale+County+Tennessee,40,33,4,60,29,39,39
Lawrence+County+Tennessee,Lawrence+County+Tennessee,43,65,26,56,29,48,44
Lewis+County+Tennessee,Lewis+County+Tennessee,52,60,28,59,30,46,41
Lincoln+County+Tennessee,Lincoln+County+Tennessee,45,59,35,52,31,53,39
Loudon+County+Tennessee,Loudon+County+Tennessee,41,60,46,56,38,58,45
McMinn+County+Tennessee,McMinn+County+Tennessee,54,62,27,62,33,59,54
McNairy+County+Tennessee,McNairy+County+Tennessee,36,58,22,49,28,37,36
Macon+County+Tennessee,Macon+County+Tennessee,21,60,16,54,32,65,38
Madison+County+Tennessee,Madison+County+Tennessee,69,74,34,58,35,69,59
Marion+County+Tennessee,Marion+County+Tennessee,41,56,38,51,32,59,34
Marshall+County+Tennessee,Marshall+County+Tennessee,40,60,34,57,36,49,41
Maury+County+Tennessee,Maury+County+Tennessee,58,57,38,52,36,63,42
Meigs+County+Tennessee,Meigs+County+Tennessee,30,72,21,47,26,46,35
Monroe+County+Tennessee,Monroe+County+Tennessee,48,58,30,55,30,51,39
Montgomery+County+Tennessee,Montgomery+County+Tennessee,43,56,30,46,38,54,36
Moore+County+Tennessee,Moore+County+Tennessee,57,57,21,51,30,46,37
Morgan+County+Tennessee,Morgan+County+Tennessee,36,61,31,47,28,67,41
Obion+County+Tennessee,Obion+County+Tennessee,58,59,33,63,32,50,41
Overton+County+Tennessee,Overton+County+Tennessee,26,60,23,57,33,48,43
Perry+County+Tennessee,Perry+County+Tennessee,29,59,5,51,24,55,40
Pickett+County+Tennessee,Pickett+County+Tennessee,38,60,28,59,33,36,45
Polk+County+Tennessee,Polk+County+Tennessee,54,60,26,55,34,60,40
Putnam+County+Tennessee,Putnam+County+Tennessee,39,77,33,58,34,53,47
Rhea+County+Tennessee,Rhea+County+Tennessee,33,43,21,56,34,47,45
Roane+County+Tennessee,Roane+County+Tennessee,48,57,30,61,35,54,44
Robertson+County+Tennessee,Robertson+County+Tennessee,52,56,32,54,38,81,34
Rutherford+County+Tennessee,Rutherford+County+Tennessee,41,52,39,50,42,71,42
Scott+County+Tennessee,Scott+County+Tennessee,33,60,26,60,26,31,40
Sequatchie+County+Tennessee,Sequatchie+County+Tennessee,26,60,29,50,31,60,43
Sevier+County+Tennessee,Sevier+County+Tennessee,72,59,43,50,31,58,47
Shelby+County+Tennessee,Shelby+County+Tennessee,47,54,38,52,44,44,45
Smith+County+Tennessee,Smith+County+Tennessee,42,29,25,67,33,70,32
Stewart+County+Tennessee,Stewart+County+Tennessee,31,44,24,44,28,48,37
Sullivan+County+Tennessee,Sullivan+County+Tennessee,57,28,34,66,39,57,51
Sumner+County+Tennessee,Sumner+County+Tennessee,51,57,40,50,41,68,38
Tipton+County+Tennessee,Tipton+County+Tennessee,33,59,37,47,34,78,42
Trousdale+County+Tennessee,Trousdale+County+Tennessee,26,60,23,51,30,78,35
Unicoi+County+Tennessee,Unicoi+County+Tennessee,53,60,46,73,44,56,49
Union+County+Tennessee,Union+County+Tennessee,19,80,28,81,30,58,38
Van+Buren+County+Tennessee,Van+Buren+County+Tennessee,,,,,,,
Warren+County+Tennessee,Warren+County+Tennessee,47,36,26,61,33,48,42
Washington+County+Tennessee,Washington+County+Tennessee,54,57,40,68,38,50,55
Wayne+County+Tennessee,Wayne+County+Tennessee,23,60,18,58,31,42,41
Weakley+County+Tennessee,Weakley+County+Tennessee,47,61,24,62,34,43,45
White+County+Tennessee,White+County+Tennessee,44,35,29,54,29,50,38
Williamson+County+Tennessee,Williamson+County+Tennessee,85,69,60,33,47,67,42
Wilson+County+Tennessee,Wilson+County+Tennessee,59,66,38,51,40,73,39
Anderson+County+Texas,Anderson+County+Texas,47,36,31,61,32,59,33
Andrews+County+Texas,Andrews+County+Texas,29,13,36,49,42,59,52
Angelina+County+Texas,Angelina+County+Texas,50,32,34,53,37,60,44
Aransas+County+Texas,Aransas+County+Texas,63,60,33,52,35,43,43
Archer+County+Texas,Archer+County+Texas,43,48,32,45,36,48,52
Armstrong+County+Texas,Armstrong+County+Texas,94,60,36,35,30,71,56
Atascosa+County+Texas,Atascosa+County+Texas,32,58,36,49,36,49,37
Austin+County+Texas,Austin+County+Texas,42,54,43,51,35,71,28
Bailey+County+Texas,Bailey+County+Texas,35,49,29,49,37,64,50
Bandera+County+Texas,Bandera+County+Texas,51,51,38,44,33,36,35
Bastrop+County+Texas,Bastrop+County+Texas,42,56,37,46,35,35,33
Baylor+County+Texas,Baylor+County+Texas,48,60,47,81,38,28,33
Bee+County+Texas,Bee+County+Texas,34,50,31,56,38,40,46
Bell+County+Texas,Bell+County+Texas,39,56,49,47,40,54,57
Bexar+County+Texas,Bexar+County+Texas,33,49,52,54,45,57,42
Blanco+County+Texas,Blanco+County+Texas,63,60,55,53,33,54,34
Borden+County+Texas,Borden+County+Texas,26,18,43,41,23,25,56
Bosque+County+Texas,Bosque+County+Texas,62,43,35,53,35,42,42
Bowie+County+Texas,Bowie+County+Texas,52,63,40,53,36,60,39
Brazoria+County+Texas,Brazoria+County+Texas,31,42,48,44,45,67,39
Brazos+County+Texas,Brazos+County+Texas,37,49,51,50,42,33,63
Brewster+County+Texas,Brewster+County+Texas,62,71,44,60,38,41,62
Briscoe+County+Texas,Briscoe+County+Texas,50,37,32,45,23,22,58
Brooks+County+Texas,Brooks+County+Texas,28,60,33,66,35,34,37
Brown+County+Texas,Brown+County+Texas,54,45,38,60,35,56,48
Burleson+County+Texas,Burleson+County+Texas,,,,,,,
Burnet+County+Texas,Burnet+County+Texas,56,36,45,55,34,58,37
Caldwell+County+Texas,Caldwell+County+Texas,41,45,35,56,38,44,36
Calhoun+County+Texas,Calhoun+County+Texas,45,57,34,55,38,71,50
Callahan+County+Texas,Callahan+County+Texas,41,32,44,51,37,38,31
Cameron+County+Texas,Cameron+County+Texas,26,57,54,52,40,43,63
Camp+County+Texas,Camp+County+Texas,59,36,38,58,34,65,34
Carson+County+Texas,Carson+County+Texas,77,36,40,39,38,82,36
Cass+County+Texas,Cass+County+Texas,43,49,31,57,32,48,32
Castro+County+Texas,Castro+County+Texas,35,60,31,50,32,52,41
Chambers+County+Texas,Chambers+County+Texas,43,25,34,42,36,77,24
Cherokee+County+Texas,Cherokee+County+Texas,40,42,30,57,31,50,38
Childress+County+Texas,Childress+County+Texas,57,60,47,62,38,58,62
Clay+County+Texas,Clay+County+Texas,44,29,38,36,36,42,36
Cochran+County+Texas,Cochran+County+Texas,41,26,40,43,37,48,51
Coke+County+Texas,Coke+County+Texas,77,30,26,59,37,21,48
Coleman+County+Texas,Coleman+County+Texas,45,61,14,66,30,32,45
Collin+County+Texas,Collin+County+Texas,47,58,66,34,56,70,49
Collingsworth+County+Texas,Collingsworth+County+Texas,80,41,23,62,50,39,43
Colorado+County+Texas,Colorado+County+Texas,64,33,30,57,35,56,41
Comal+County+Texas,Comal+County+Texas,,,,,,,
Comanche+County+Texas,Comanche+County+Texas,38,59,40,54,32,49,41
Concho+County+Texas,Concho+County+Texas,44,18,37,53,35,30,54
Cooke+County+Texas,Cooke+County+Texas,53,48,41,53,38,64,39
Coryell+County+Texas,Coryell+County+Texas,29,45,37,47,38,59,59
Cottle+County+Texas,Cottle+County+Texas,43,60,33,58,35,49,47
Crane+County+Texas,Crane+County+Texas,33,18,34,38,54,61,71
Crockett+County+Texas,Crockett+County+Texas,76,60,34,61,44,61,36
Crosby+County+Texas,Crosby+County+Texas,71,60,36,58,43,56,41
Culberson+County+Texas,Culberson+County+Texas,40,76,32,60,36,52,34
Dallam+County+Texas,Dallam+County+Texas,61,60,37,39,39,81,57
Dallas+County+Texas,Dallas+County+Texas,41,48,59,45,58,47,53
Dawson+County+Texas,Dawson+County+Texas,56,45,27,52,37,42,59
Deaf+Smith+County+Texas,Deaf+Smith+County+Texas,25,59,43,58,41,61,49
Delta+County+Texas,Delta+County+Texas,38,46,26,61,30,60,25
Denton+County+Texas,Denton+County+Texas,43,44,59,29,53,69,47
DeWitt+County+Texas,DeWitt+County+Texas,55,46,34,65,32,47,46
Dickens+County+Texas,Dickens+County+Texas,50,40,26,58,33,30,59
Dimmit+County+Texas,Dimmit+County+Texas,30,61,32,64,39,63,48
Donley+County+Texas,Donley+County+Texas,77,60,29,51,26,50,51
Duval+County+Texas,Duval+County+Texas,,,,,,,
Eastland+County+Texas,Eastland+County+Texas,38,60,30,59,35,45,38
Ector+County+Texas,Ector+County+Texas,49,64,37,53,43,55,56
Edwards+County+Texas,Edwards+County+Texas,44,60,38,41,33,42,60
Ellis+County+Texas,Ellis+County+Texas,44,47,50,18,44,75,36
El+Paso+County+Texas,El+Paso+County+Texas,25,47,53,44,49,50,48
Erath+County+Texas,Erath+County+Texas,54,60,46,52,37,38,42
Falls+County+Texas,Falls+County+Texas,36,24,30,61,37,35,41
Fannin+County+Texas,Fannin+County+Texas,51,44,21,54,36,46,33
Fayette+County+Texas,Fayette+County+Texas,68,58,36,53,35,47,30
Fisher+County+Texas,Fisher+County+Texas,47,40,18,68,31,43,56
Floyd+County+Texas,Floyd+County+Texas,68,60,42,52,41,40,42
Foard+County+Texas,Foard+County+Texas,53,60,41,63,32,56,34
Fort+Bend+County+Texas,Fort+Bend+County+Texas,32,55,62,29,51,67,41
Franklin+County+Texas,Franklin+County+Texas,61,60,32,49,34,47,39
Freestone+County+Texas,Freestone+County+Texas,51,52,26,54,32,52,30
Frio+County+Texas,Frio+County+Texas,35,61,35,64,38,47,49
Gaines+County+Texas,Gaines+County+Texas,34,18,28,51,39,41,45
Galveston+County+Texas,Galveston+County+Texas,43,39,51,45,45,59,42
Garza+County+Texas,Garza+County+Texas,61,43,25,65,44,56,40
Gillespie+County+Texas,Gillespie+County+Texas,71,70,63,55,36,56,46
Glasscock+County+Texas,Glasscock+County+Texas,42,60,36,41,21,62,43
Goliad+County+Texas,Goliad+County+Texas,68,46,31,58,35,61,28
Gonzales+County+Texas,Gonzales+County+Texas,48,53,35,61,32,50,37
Gray+County+Texas,Gray+County+Texas,63,59,40,53,39,67,50
Grayson+County+Texas,Grayson+County+Texas,49,34,42,51,40,58,40
Gregg+County+Texas,Gregg+County+Texas,52,53,40,54,41,62,55
Grimes+County+Texas,Grimes+County+Texas,43,41,7,54,33,44,32
Guadalupe+County+Texas,Guadalupe+County+Texas,41,35,49,43,44,52,43
Hale+County+Texas,Hale+County+Texas,43,59,43,53,40,54,45
Hall+County+Texas,Hall+County+Texas,39,38,33,66,30,26,60
Hamilton+County+Texas,Hamilton+County+Texas,67,60,35,50,31,46,45
Hansford+County+Texas,Hansford+County+Texas,44,18,47,48,42,63,61
Hardeman+County+Texas,Hardeman+County+Texas,70,40,27,67,35,43,52
Hardin+County+Texas,Hardin+County+Texas,48,51,36,54,39,48,48
Harris+County+Texas,Harris+County+Texas,27,42,57,51,52,49,46
Harrison+County+Texas,Harrison+County+Texas,52,50,30,52,35,51,45
Hartley+County+Texas,Hartley+County+Texas,33,60,43,49,34,47,50
Haskell+County+Texas,Haskell+County+Texas,41,38,12,61,36,39,57
Hays+County+Texas,Hays+County+Texas,51,55,51,36,44,39,44
Hemphill+County+Texas,Hemphill+County+Texas,88,60,52,43,40,89,46
Henderson+County+Texas,Henderson+County+Texas,47,52,35,50,32,40,40
Hidalgo+County+Texas,Hidalgo+County+Texas,21,59,47,40,39,37,54
Hill+County+Texas,Hill+County+Texas,35,45,30,54,34,49,36
Hockley+County+Texas,Hockley+County+Texas,36,44,44,53,39,64,48
Hood+County+Texas,Hood+County+Texas,53,65,50,30,38,64,41
Hopkins+County+Texas,Hopkins+County+Texas,53,55,41,47,39,56,34
Houston+County+Texas,Houston+County+Texas,45,40,21,56,30,37,37
Howard+County+Texas,Howard+County+Texas,51,57,25,58,33,53,49
Hudspeth+County+Texas,Hudspeth+County+Texas,12,60,29,41,17,40,34
Hunt+County+Texas,Hunt+County+Texas,49,45,24,54,34,62,34
Hutchinson+County+Texas,Hutchinson+County+Texas,42,35,44,47,37,61,46
Irion+County+Texas,Irion+County+Texas,59,61,34,39,28,59,26
Jack+County+Texas,Jack+County+Texas,55,60,26,59,33,47,40
Jackson+County+Texas,Jackson+County+Texas,58,51,29,53,34,64,33
Jasper+County+Texas,Jasper+County+Texas,49,47,34,59,32,56,36
Jeff+Davis+County+Texas,Jeff+Davis+County+Texas,58,80,45,43,30,77,50
Jefferson+County+Texas,Jefferson+County+Texas,49,30,37,71,43,57,43
Jim+Hogg+County+Texas,Jim+Hogg+County+Texas,11,18,37,58,34,48,35
Jim+Wells+County+Texas,Jim+Wells+County+Texas,38,43,33,56,35,59,45
Johnson+County+Texas,Johnson+County+Texas,36,58,41,37,43,72,38
Jones+County+Texas,Jones+County+Texas,,,,,,,
Karnes+County+Texas,Karnes+County+Texas,31,44,29,62,29,39,38
Kaufman+County+Texas,Kaufman+County+Texas,41,53,43,23,39,72,35
Kendall+County+Texas,Kendall+County+Texas,59,39,57,36,43,61,36
Kenedy+County+Texas,Kenedy+County+Texas,8,60,31,43,17,59,18
Kent+County+Texas,Kent+County+Texas,53,38,32,38,14,28,34
Kerr+County+Texas,Kerr+County+Texas,67,50,58,48,37,42,44
Kimble+County+Texas,Kimble+County+Texas,49,61,43,55,32,29,36
King+County+Texas,King+County+Texas,20,18,38,37,14,40,27
Kinney+County+Texas,Kinney+County+Texas,29,60,29,45,37,46,51
Kleberg+County+Texas,Kleberg+County+Texas,37,57,34,60,35,47,51
Knox+County+Texas,Knox+County+Texas,51,30,37,71,34,48,49
Lamar+County+Texas,Lamar+County+Texas,47,57,32,51,34,61,43
Lamb+County+Texas,Lamb+County+Texas,54,48,34,55,35,49,45
Lampasas+County+Texas,Lampasas+County+Texas,28,19,44,44,36,50,54
La+Salle+County+Texas,La+Salle+County+Texas,77,61,29,64,36,60,38
Lavaca+County+Texas,Lavaca+County+Texas,59,60,27,52,33,53,40
Lee+County+Texas,Lee+County+Texas,60,60,27,52,31,63,34
Leon+County+Texas,Leon+County+Texas,61,53,21,48,30,44,26
Liberty+County+Texas,Liberty+County+Texas,30,58,27,55,31,64,31
Limestone+County+Texas,Limestone+County+Texas,31,35,35,55,30,56,37
Lipscomb+County+Texas,Lipscomb+County+Texas,85,39,28,60,36,46,38
Live+Oak+County+Texas,Live+Oak+County+Texas,60,54,28,52,31,63,30
Llano+County+Texas,Llano+County+Texas,58,53,38,55,31,14,44
Loving+County+Texas,Loving+County+Texas,21,60,33,34,22,31,24
Lubbock+County+Texas,Lubbock+County+Texas,44,53,45,49,44,51,60
Lynn+County+Texas,Lynn+County+Texas,46,23,29,52,34,67,35
McCulloch+County+Texas,McCulloch+County+Texas,64,18,33,65,35,70,52
McLennan+County+Texas,McLennan+County+Texas,47,46,53,51,40,52,47
McMullen+County+Texas,McMullen+County+Texas,58,60,33,51,19,42,55
Madison+County+Texas,Madison+County+Texas,,,,,,,
Marion+County+Texas,Marion+County+Texas,57,39,28,54,26,33,36
Martin+County+Texas,Martin+County+Texas,69,60,38,41,34,81,35
Mason+County+Texas,Mason+County+Texas,52,19,62,40,32,40,36
Matagorda+County+Texas,Matagorda+County+Texas,56,43,40,56,34,39,46
Maverick+County+Texas,Maverick+County+Texas,23,78,33,52,40,42,60
Medina+County+Texas,Medina+County+Texas,41,51,39,49,36,44,36
Menard+County+Texas,Menard+County+Texas,47,60,37,64,38,24,35
Midland+County+Texas,Midland+County+Texas,55,15,46,46,45,60,58
Milam+County+Texas,Milam+County+Texas,54,34,22,56,33,39,38
Mills+County+Texas,Mills+County+Texas,74,61,30,42,36,40,41
Mitchell+County+Texas,Mitchell+County+Texas,23,61,7,54,33,55,33
Montague+County+Texas,Montague+County+Texas,42,60,32,54,34,45,38
Montgomery+County+Texas,Montgomery+County+Texas,33,49,50,43,43,61,40
Moore+County+Texas,Moore+County+Texas,50,55,41,48,45,67,50
Morris+County+Texas,Morris+County+Texas,,,,,,,
Motley+County+Texas,Motley+County+Texas,65,35,27,43,26,26,61
Nacogdoches+County+Texas,Nacogdoches+County+Texas,,,,,,,
Navarro+County+Texas,Navarro+County+Texas,44,51,31,55,34,54,43
Newton+County+Texas,Newton+County+Texas,37,60,25,48,29,24,32
Nolan+County+Texas,Nolan+County+Texas,57,36,42,64,35,68,47
Nueces+County+Texas,Nueces+County+Texas,38,23,46,45,45,52,58
Ochiltree+County+Texas,Ochiltree+County+Texas,,,,,,,
Oldham+County+Texas,Oldham+County+Texas,51,60,36,35,29,67,26
Orange+County+Texas,Orange+County+Texas,49,50,33,64,37,46,34
Palo+Pinto+County+Texas,Palo+Pinto+County+Texas,46,40,31,50,34,35,42
Panola+County+Texas,Panola+County+Texas,51,48,22,52,32,64,27
Parker+County+Texas,Parker+County+Texas,49,50,38,27,40,72,36
Parmer+County+Texas,Parmer+County+Texas,52,60,31,41,41,89,45
Pecos+County+Texas,Pecos+County+Texas,43,45,32,56,33,44,42
Polk+County+Texas,Polk+County+Texas,34,51,28,52,31,46,33
Potter+County+Texas,Potter+County+Texas,45,72,41,55,41,56,60
Presidio+County+Texas,Presidio+County+Texas,65,51,48,61,40,39,70
Rains+County+Texas,Rains+County+Texas,28,35,29,50,32,52,35
Randall+County+Texas,Randall+County+Texas,45,68,55,41,41,68,61
Reagan+County+Texas,Reagan+County+Texas,38,61,37,49,54,79,58
Real+County+Texas,Real+County+Texas,48,60,39,40,22,44,40
Red+River+County+Texas,Red+River+County+Texas,38,44,14,63,32,44,41
Reeves+County+Texas,Reeves+County+Texas,38,51,28,62,36,59,40
Refugio+County+Texas,Refugio+County+Texas,60,34,35,60,37,53,41
Roberts+County+Texas,Roberts+County+Texas,58,60,43,37,16,19,19
Robertson+County+Texas,Robertson+County+Texas,46,56,30,64,31,33,26
Rockwall+County+Texas,Rockwall+County+Texas,48,29,57,6,50,76,42
Runnels+County+Texas,Runnels+County+Texas,43,25,27,58,37,53,48
Rusk+County+Texas,Rusk+County+Texas,45,46,31,50,36,65,45
Sabine+County+Texas,Sabine+County+Texas,67,60,17,50,28,37,34
San+Augustine+County+Texas,San+Augustine+County+Texas,37,42,32,67,30,33,25
San+Jacinto+County+Texas,San+Jacinto+County+Texas,13,34,17,51,28,18,28
San+Patricio+County+Texas,San+Patricio+County+Texas,41,39,34,48,40,62,48
San+Saba+County+Texas,San+Saba+County+Texas,44,42,24,54,31,41,42
Schleicher+County+Texas,Schleicher+County+Texas,35,60,35,58,38,40,38
Scurry+County+Texas,Scurry+County+Texas,55,61,35,53,33,73,43
Shackelford+County+Texas,Shackelford+County+Texas,87,28,42,59,39,69,50
Shelby+County+Texas,Shelby+County+Texas,38,42,30,59,31,55,28
Sherman+County+Texas,Sherman+County+Texas,43,60,37,40,39,70,39
Smith+County+Texas,Smith+County+Texas,55,64,52,46,39,58,43
Somervell+County+Texas,Somervell+County+Texas,78,41,51,46,38,77,29
Starr+County+Texas,Starr+County+Texas,15,36,38,50,37,30,44
Stephens+County+Texas,Stephens+County+Texas,53,27,33,64,35,64,52
Sterling+County+Texas,Sterling+County+Texas,50,60,42,42,29,66,27
Stonewall+County+Texas,Stonewall+County+Texas,47,18,65,68,33,31,63
Sutton+County+Texas,Sutton+County+Texas,83,58,34,60,33,86,32
Swisher+County+Texas,Swisher+County+Texas,57,60,40,53,41,44,45
Tarrant+County+Texas,Tarrant+County+Texas,44,41,55,39,52,57,45
Taylor+County+Texas,Taylor+County+Texas,56,43,55,51,40,59,52
Terrell+County+Texas,Terrell+County+Texas,17,60,39,43,9,45,34
Terry+County+Texas,Terry+County+Texas,59,49,31,57,39,34,42
Throckmorton+County+Texas,Throckmorton+County+Texas,54,18,49,52,35,35,46
Titus+County+Texas,Titus+County+Texas,43,55,39,53,36,84,35
Tom+Green+County+Texas,Tom+Green+County+Texas,48,20,48,53,40,50,48
Travis+County+Texas,Travis+County+Texas,58,57,64,40,52,57,50
Trinity+County+Texas,Trinity+County+Texas,42,43,29,56,29,64,37
Tyler+County+Texas,Tyler+County+Texas,48,48,26,52,26,42,37
Upshur+County+Texas,Upshur+County+Texas,43,60,38,54,34,73,43
Upton+County+Texas,Upton+County+Texas,32,60,41,43,39,66,50
Uvalde+County+Texas,Uvalde+County+Texas,48,58,50,53,36,50,51
Val+Verde+County+Texas,Val+Verde+County+Texas,35,51,45,53,43,45,61
Van+Zandt+County+Texas,Van+Zandt+County+Texas,44,37,29,48,33,43,32
Victoria+County+Texas,Victoria+County+Texas,51,60,37,54,38,41,45
Walker+County+Texas,Walker+County+Texas,34,47,35,56,39,45,42
Waller+County+Texas,Waller+County+Texas,,,,,,,
Ward+County+Texas,Ward+County+Texas,,,,,,,
Washington+County+Texas,Washington+County+Texas,71,50,43,59,37,71,37
Webb+County+Texas,Webb+County+Texas,17,26,45,43,43,54,69
Wharton+County+Texas,Wharton+County+Texas,60,51,42,56,37,55,38
Wheeler+County+Texas,Wheeler+County+Texas,75,35,42,42,36,58,40
Wichita+County+Texas,Wichita+County+Texas,,,,,,,
Wilbarger+County+Texas,Wilbarger+County+Texas,56,16,34,63,38,70,48
Willacy+County+Texas,Willacy+County+Texas,43,49,37,52,33,35,51
Williamson+County+Texas,Williamson+County+Texas,47,47,58,29,50,57,42
Wilson+County+Texas,Wilson+County+Texas,40,58,44,43,38,46,34
Winkler+County+Texas,Winkler+County+Texas,34,60,32,45,49,59,56
Wise+County+Texas,Wise+County+Texas,44,35,35,31,38,77,31
Wood+County+Texas,Wood+County+Texas,55,61,40,50,34,44,32
Yoakum+County+Texas,Yoakum+County+Texas,34,18,33,53,44,81,47
Young+County+Texas,Young+County+Texas,68,60,28,62,38,51,46
Zapata+County+Texas,Zapata+County+Texas,34,60,37,47,34,46,51
Zavala+County+Texas,Zavala+County+Texas,16,41,30,69,37,24,40
Beaver+County+Utah,Beaver+County+Utah,42,62,41,47,42,56,51
Box+Elder+County+Utah,Box+Elder+County+Utah,62,49,69,45,47,58,42
Cache+County+Utah,Cache+County+Utah,64,47,75,42,50,54,65
Carbon+County+Utah,Carbon+County+Utah,71,70,59,56,38,67,49
Daggett+County+Utah,Daggett+County+Utah,37,81,58,35,18,62,63
Davis+County+Utah,Davis+County+Utah,54,42,75,29,56,57,53
Duchesne+County+Utah,Duchesne+County+Utah,50,38,38,46,33,70,41
Emery+County+Utah,Emery+County+Utah,39,54,46,51,38,77,46
Garfield+County+Utah,Garfield+County+Utah,21,69,50,44,31,49,55
Grand+County+Utah,Grand+County+Utah,88,62,40,58,38,65,44
Iron+County+Utah,Iron+County+Utah,63,44,57,50,39,43,46
Juab+County+Utah,Juab+County+Utah,66,57,43,42,35,63,30
Kane+County+Utah,Kane+County+Utah,81,51,37,50,33,55,44
Millard+County+Utah,Millard+County+Utah,60,40,50,49,34,60,40
Morgan+County+Utah,Morgan+County+Utah,49,49,73,28,45,74,27
Piute+County+Utah,Piute+County+Utah,34,39,42,39,27,37,63
Rich+County+Utah,Rich+County+Utah,75,44,48,44,19,44,54
Salt+Lake+County+Utah,Salt+Lake+County+Utah,54,49,65,33,56,62,59
San+Juan+County+Utah,San+Juan+County+Utah,47,61,36,58,33,44,49
Sanpete+County+Utah,Sanpete+County+Utah,61,38,46,43,44,36,50
Sevier+County+Utah,Sevier+County+Utah,67,61,55,47,38,58,49
Summit+County+Utah,Summit+County+Utah,78,23,79,40,39,68,39
Tooele+County+Utah,Tooele+County+Utah,49,31,57,32,46,81,56
Uintah+County+Utah,Uintah+County+Utah,62,46,42,45,37,59,47
Utah+County+Utah,Utah+County+Utah,54,41,75,37,55,46,54
Wasatch+County+Utah,Wasatch+County+Utah,78,45,71,35,44,47,45
Washington+County+Utah,Washington+County+Utah,65,53,52,43,44,51,62
Wayne+County+Utah,Wayne+County+Utah,36,57,61,40,22,52,63
Weber+County+Utah,Weber+County+Utah,51,32,64,38,51,50,51
Addison+County+Vermont,Addison+County+Vermont,72,38,62,47,37,54,46
Bennington+County+Vermont,Bennington+County+Vermont,73,63,69,53,39,53,47
Caledonia+County+Vermont,Caledonia+County+Vermont,62,48,54,54,34,51,38
Chittenden+County+Vermont,Chittenden+County+Vermont,69,61,72,54,46,75,53
Essex+County+Vermont,Essex+County+Vermont,20,46,42,51,34,31,47
Franklin+County+Vermont,Franklin+County+Vermont,51,45,49,50,38,53,39
Grand+Isle+County+Vermont,Grand+Isle+County+Vermont,55,60,59,43,34,32,40
Lamoille+County+Vermont,Lamoille+County+Vermont,74,40,59,47,34,65,45
Orange+County+Vermont,Orange+County+Vermont,68,49,51,48,34,45,38
Orleans+County+Vermont,Orleans+County+Vermont,61,45,47,48,32,59,37
Rutland+County+Vermont,Rutland+County+Vermont,60,52,51,55,38,62,48
Washington+County+Vermont,Washington+County+Vermont,80,54,64,54,40,80,46
Windham+County+Vermont,Windham+County+Vermont,78,66,62,57,36,58,43
Windsor+County+Vermont,Windsor+County+Vermont,82,51,61,53,37,56,43
Accomack+County+Virginia,Accomack+County+Virginia,62,45,28,50,32,35,37
Albemarle+County+Virginia,Albemarle+County+Virginia,57,63,63,44,43,53,45
Alleghany+County+Virginia,Alleghany+County+Virginia,41,57,47,62,39,45,38
Amelia+County+Virginia,Amelia+County+Virginia,32,60,26,38,35,33,24
Amherst+County+Virginia,Amherst+County+Virginia,40,54,41,49,38,50,54
Appomattox+County+Virginia,Appomattox+County+Virginia,63,50,39,48,35,38,31
Arlington+County+Virginia,Arlington+County+Virginia,73,47,91,45,74,49,68
Augusta+County+Virginia,Augusta+County+Virginia,48,55,41,46,40,57,43
Bath+County+Virginia,Bath+County+Virginia,77,60,28,48,29,54,37
